STATUSMOVEMENTID,SUBSCRIPTIONID,STATUSID,MOVEMENTDATE
32864530,1026,1,17-02-2024 11:27
44001005,1026,2,17-02-2024 11:30
92060386,1026,3,17-02-2024 11:34
36786923,1026,0,17-02-2024 11:41
94500147,1026,2,17-02-2024 11:44
54018221,1026,3,17-02-2024 11:49
40528193,1026,0,17-02-2024 11:54
21906725,1026,1,17-02-2024 11:55
77165484,1026,2,17-02-2024 12:00
16633982,1026,3,17-02-2024 12:03
48303861,2817,1,22-01-2024 11:02
96475677,2817,2,22-01-2024 11:07
50431747,2817,3,22-01-2024 11:11
49238571,2817,0,22-01-2024 11:16
27130355,2817,2,22-01-2024 11:18
82506258,2817,3,22-01-2024 11:20
97496422,2817,0,22-01-2024 11:23
83179625,2817,1,22-01-2024 11:28
61007092,2817,2,22-01-2024 11:29
53667296,2817,3,22-01-2024 11:33
20267167,9873,1,09-01-2024 13:58
43548945,9873,2,09-01-2024 14:00
56001722,9873,3,09-01-2024 14:03
57375373,9873,0,09-01-2024 14:11
39923383,9873,2,09-01-2024 14:13
72453418,9873,3,09-01-2024 14:16
40582593,9873,0,09-01-2024 14:18
23201213,9873,1,09-01-2024 14:20
81019863,9873,2,09-01-2024 14:22
84983237,9873,3,09-01-2024 14:27
10803902,8651,0,18-01-2024 14:03
79622075,8651,0,18-01-2024 14:13
77640188,7926,0,01-04-2024 16:48
48251718,8224,1,10-04-2024 11:18
83715812,8224,2,10-04-2024 11:23
91659869,8224,3,10-04-2024 11:28
55831469,8224,0,10-04-2024 11:33
51058983,8224,2,10-04-2024 11:36
22432728,8224,3,10-04-2024 11:39
64042698,8224,0,10-04-2024 11:43
99770398,8224,1,10-04-2024 11:47
31866769,8224,2,10-04-2024 11:49
89864757,8224,3,10-04-2024 11:54
70799332,8483,0,13-01-2024 13:04
15877884,8483,0,13-01-2024 13:15
98861574,7866,1,14-01-2024 15:56
96451743,7866,0,14-01-2024 16:07
71538745,8542,1,06-03-2024 11:05
26683868,8542,2,06-03-2024 11:07
83808666,8542,3,06-03-2024 11:08
59241025,8542,0,06-03-2024 11:15
86495563,8542,2,06-03-2024 11:19
85696591,8542,3,06-03-2024 11:20
38816612,8542,0,06-03-2024 11:21
31888975,8542,1,06-03-2024 11:26
71993299,8542,2,06-03-2024 11:28
17338613,8542,3,06-03-2024 11:33
93658818,5981,0,02-02-2024 21:38
81889894,5981,0,02-02-2024 21:44
62539057,7909,0,30-01-2024 16:39
78243489,2769,1,24-03-2024 14:03
10658611,2769,2,24-03-2024 14:08
89777128,2769,3,24-03-2024 14:13
66713695,2769,0,24-03-2024 14:17
97086135,2769,2,24-03-2024 14:19
73942716,2769,3,24-03-2024 14:22
97809589,2769,4,24-03-2024 14:27
28895735,2769,5,24-03-2024 14:32
15026719,5261,1,19-02-2024 18:48
44388305,5261,0,19-02-2024 18:57
41732861,3389,1,16-02-2024 10:44
19817715,3389,2,16-02-2024 10:45
76664126,3389,3,16-02-2024 10:49
54227020,3389,0,16-02-2024 10:53
18116017,3389,2,16-02-2024 10:57
19301798,3389,3,16-02-2024 10:58
89617205,3389,4,16-02-2024 11:01
94088368,3389,5,16-02-2024 11:02
91744985,9476,1,09-01-2024 16:12
43726393,9476,0,09-01-2024 16:26
24331968,9476,0,09-01-2024 16:35
57035169,9476,1,09-01-2024 16:39
44295565,8780,0,23-01-2024 12:45
95125243,8780,0,23-01-2024 12:54
97294315,8391,1,04-04-2024 19:37
47251128,8391,2,04-04-2024 19:41
52934986,8391,0,04-04-2024 19:46
27207920,8391,2,04-04-2024 19:49
88093452,8391,0,04-04-2024 19:56
32351381,8391,1,04-04-2024 19:59
33991122,8391,2,04-04-2024 20:04
65190466,4862,0,29-01-2024 15:33
97907140,8427,0,21-03-2024 17:21
20584902,8427,0,21-03-2024 17:32
48455820,8620,1,02-04-2024 15:10
45158633,8620,2,02-04-2024 15:13
47574125,8620,3,02-04-2024 15:14
34936566,8620,0,02-04-2024 15:17
24213690,8620,2,02-04-2024 15:22
10376303,8620,3,02-04-2024 15:25
15604024,8620,4,02-04-2024 15:29
82852387,8620,5,02-04-2024 15:32
23288564,6135,0,27-03-2024 11:32
60187594,8449,1,01-02-2024 19:38
94369628,8449,2,01-02-2024 19:41
90084518,8449,3,01-02-2024 19:42
20804000,8449,0,01-02-2024 19:45
20056912,8449,2,01-02-2024 19:47
50386714,8449,3,01-02-2024 19:50
62454087,8449,0,01-02-2024 19:52
69484259,8449,1,01-02-2024 19:54
45082052,8449,2,01-02-2024 19:59
40260366,8449,3,01-02-2024 20:04
82116850,8960,0,29-02-2024 21:31
27009421,8960,0,29-02-2024 21:40
77050724,8327,0,30-01-2024 13:47
90243517,6395,0,25-01-2024 12:24
19424969,4282,1,16-01-2024 19:45
98878333,4282,2,16-01-2024 19:47
27814694,4282,3,16-01-2024 19:50
50347569,4282,0,16-01-2024 19:56
17258999,4282,2,16-01-2024 20:00
98387552,4282,3,16-01-2024 20:04
39220347,4282,0,16-01-2024 20:06
57785005,4282,1,16-01-2024 20:11
40230755,4282,2,16-01-2024 20:14
91774786,4282,3,16-01-2024 20:18
97764052,8825,1,02-02-2024 18:52
90892515,8825,2,02-02-2024 18:54
91032726,8825,3,02-02-2024 18:56
19733955,8825,0,02-02-2024 18:59
46996635,8825,2,02-02-2024 19:00
93984926,8825,3,02-02-2024 19:01
24980114,8825,4,02-02-2024 19:03
17360810,8825,5,02-02-2024 19:04
28580916,7579,1,03-03-2024 19:26
95378781,7579,2,03-03-2024 19:27
67367414,7579,3,03-03-2024 19:29
57161047,7579,0,03-03-2024 19:34
58942456,7579,2,03-03-2024 19:38
70944368,7579,3,03-03-2024 19:43
24057715,7579,4,03-03-2024 19:48
31992975,7579,5,03-03-2024 19:52
54372315,9915,1,24-03-2024 17:47
57244900,9915,2,24-03-2024 17:50
45734952,9915,3,24-03-2024 17:54
81903843,9915,4,24-03-2024 17:57
13234494,9915,0,24-03-2024 17:59
61983635,9915,2,24-03-2024 18:02
80680038,9915,3,24-03-2024 18:03
56240376,9915,0,24-03-2024 18:08
46899159,9915,1,24-03-2024 18:13
33516282,9915,2,24-03-2024 18:16
21064335,9915,3,24-03-2024 18:20
55013154,9915,4,24-03-2024 18:25
83573020,6540,1,21-02-2024 10:50
42167470,6540,2,21-02-2024 10:54
64135655,6540,3,21-02-2024 10:55
73160752,6540,0,21-02-2024 10:58
29274876,6540,2,21-02-2024 11:02
19327734,6540,3,21-02-2024 11:06
51743434,6540,0,21-02-2024 11:11
90176896,6540,1,21-02-2024 11:13
15835107,6540,2,21-02-2024 11:17
44534189,6540,3,21-02-2024 11:18
65087661,9632,1,24-01-2024 10:57
73965017,9632,2,24-01-2024 11:00
99259359,9632,3,24-01-2024 11:05
87137026,9632,0,24-01-2024 11:08
67195006,9632,2,24-01-2024 11:13
81203694,9632,3,24-01-2024 11:17
